绿城青竹园,［开福区-四方坪］青竹湖路222号
万国城MOMA(二期),［开福区-开福区政府］福元西路199号
东原麓印长江,［开福区-广电中心］锦绣路,近福元路
蒋家垅社区,［开福区-伍家岭］蒋家垅街
中坤秀峰景园,［开福区-开福周边］芙蓉北路199号
青竹湖畔(别墅),［开福区-开福周边］青竹湖路
铂宫家园,［开福区-中山亭］又一村巷38号
湖南烈士公园宿舍,［开福区-省博物馆］德雅路
五一大道202,［开福区-八一桥］五一西路202号
洪山翠园,［开福区-开福区政府］山月路310号
归心苑(别墅),［开福区-广电中心］万家丽北路一段859号
金色屋顶,［开福区-湘江中路］湘江大道320号
金鹰城圣爵菲斯(别墅),［开福区-广电中心］金鹰路
珠江花城花盛,［开福区-开福区政府］福元西路99号
陈家湖小区,［开福区-伍家岭］芙蓉北路二段168号
世家水木华麓,［开福区-开福区政府］芙蓉北路386号
出版局宿舍,［开福区-松桂园］营盘东路
东宸19公馆,［开福区-兴汉门］湘春路199号
庄园心伽泊,［开福区-伍家岭］双河路112号
江临天下,［开福区-开福区政府］金马路
华远华时代,［开福区-湘雅医院］湘雅路,近芙蓉中路
金辉优步湖畔,［开福区-开福区政府］双河路
湘雅医院宿舍,［开福区-湘雅医院］留芳岭巷48号
滨江美寓,［开福区-开福区政府］金霞开发区13-1号
顺天北国风光,［开福区-马厂］福城路
藏珑湖上国际花园(别墅),［开福区-广电中心］洪山路188号
明珠苑,［开福区-伍家岭］芙蓉北路二段200号
万境潇湘,［开福区-开福周边］鹅秀路
鸥波港湾,［开福区-四方坪］东风路248号
水映加州(别墅),［开福区-山语城］太阳山路688号
上林紫郡,［开福区-四方坪］陡岭支路111号
吉景小区,［开福区-湘江中路］营盘路180号
福泽园,［开福区-四方坪］陡岭路,近陡岭支路
金霞苑,［开福区-开福区政府］迎霞路106号
美世界园林公寓,［开福区-广电中心］匍园路278号
观园,［开福区-省博物馆］东风路43号
恒大御景天下,［开福区-山语城］芙蓉北路,近高冲路
阳光城檀悦,［开福区-八一桥］中山路48号
御景龙城,［开福区-广电中心］山月路
湖南日报单位宿舍,［开福区-松桂园］芙蓉中路
凯达园,［开福区-松桂园］湘雅路188号
伍家岭生活广场,［开福区-伍家岭］芙蓉中路二段459号
省石油公司宿舍,［开福区-兴汉门］湘春路111号
领御大厦,［开福区-松桂园］营盘路108号
金达家园,［开福区-伍家岭］浏阳河路10号
金地园,［开福区-四方坪］浏阳河路412号
福乐凯公寓,［开福区-省博物馆］福乐巷21号
金帆江滨玫瑰园,［开福区-开福区政府］金马路
阳光花园,［开福区-伍家岭］三一大道265号
雅雀湖小区,［开福区-四方坪］双拥路31号
新时代广场,［开福区-东风路］芙蓉中路一段161号
馨域大厦,［开福区-营盘路］营盘路315号
北桥新村,［开福区-伍家岭］华夏路300号
北湾景园,［开福区-开福区政府］兴隆路12号
雄新水印廊桥,［开福区-四方坪］东二环
上麻园岭社区,［开福区-湘雅医院］上麻园岭路
泊富国际广场,［开福区-湘江中路］芙蓉路416号
珠江花城桂苑,［开福区-开福区政府］福元西路99号
湖南制药厂宿舍,［开福区-车站北路］车站北路531号
海东青大厦,［开福区-松桂园］芙蓉中路1段466号
佳阳悦景馨都,［开福区-伍家岭］陡岭路69号
润和国际广场,［开福区-开福区政府］芙蓉北路,近福元西路
恒基旭辉湖山赋,［开福区-八一桥］兴联路,近开福大道
江景阳光,［开福区-开福区政府］兴隆路52号
教育厅宿舍,［开福区-开福周边］教育街11号
湘诚德峰小区(C区),［开福区-八一桥］新安路,近鹅羊村路
湘江壹号(别墅),［开福区-山语城］创远路1号
省委统战部宿舍,［开福区-八一桥］迎宾路185号
顺天御岭,［开福区-山语城］芙蓉北路
湘江银座,［开福区-中山亭］营盘路
湖南省农业厅宿舍,［开福区-八一桥］营盘路210号
人造板厂宿舍,［开福区-湘雅路口］湘江中路一段82号
雅泰家园,［开福区-伍家岭］新码头路157号
福润园,［开福区-浏阳河路］浏阳河路91号
卓越青竹湖,［开福区-开福周边］太阳山路1号
长宝佳园,［开福区-万达广场］中山西路393号
富兴世界金融中心,［开福区-伍家岭］芙蓉中路1段311号
君悦新天地,［开福区-伍家岭］江天路,近凤舞路
虹嘉园,［开福区-松桂园］民主后街一条巷1号
福圣园,［开福区-伍家岭］开福寺路133号
市一中校内单位房,［开福区-松桂园］清水塘路81号
长房雍景湾,［开福区-开福区政府］盛世路
丽臣小区,［开福区-车站北路］车站北路519号
茅亭子社区,［开福区-八一桥］茅亭子9号
雅园小区,［开福区-松桂园］黄兴北路265号
湖南电视台单位宿舍,［开福区-八一桥］德雅路480号
湘诚德峰小区(B区),［开福区-八一桥］新安路
造漆厂宿舍,［开福区-德雅路］浏河村巷31号
建湘新村,［开福区-伍家岭］三一大道44号
戥子桥小区,［开福区-松桂园］营盘路248号
宇成开福广场,［开福区-湘江中路］庆和里27号
恒泰湘壹府,［开福区-开福周边］开福大道,近星月路
恒大御景半岛(三期),［开福区-湘江世纪城］金马路61号
华府壹航线,［开福区-四方坪］车站北路
东风二村,［开福区-东风路］东风路
藏珑湖上国际花园(商住楼),［开福区-广电中心］洪山路,近万家丽路
旺角佳园,［开福区-伍家岭］丽臣路97号
新湘路社区,［开福区-湘雅医院］蔡锷北路597号
金霞湘绣园,［开福区-伍家岭］龙福路2号
景园小区,［开福区-开福周边］姚正街
楠熙筱苑,［开福区-八一桥］青竹湖路79号
万科城(别墅),［开福区-开福区政府］福元西路148号
省工行家属楼,［开福区-八一桥］建湘路651号
金霞银园,［开福区-开福区政府］芙蓉北路一段87号
愉景花园,［开福区-烈士公园］东风路39号
楚天郡府,［开福区-马厂］湘江北路三段48号
恒基旭辉湖山赋(别墅),［开福区-八一桥］兴联路,近开福大道
恒大御景半岛(二期),［开福区-马厂］金马路61号
四方嘉丽,［开福区-四方坪］双拥路168号
湘雅路花鼓戏剧院,［开福区-湘雅医院］油铺街68号
北辰三角洲奥城E4区,［开福区-北辰三角洲］湘江北路三段1200号
便河边人大宿舍,［开福区-兴汉门］便河边巷
学宫公寓,［开福区-营盘路］学宫街142号
省体育局宿舍,［开福区-烈士公园］体育馆路36号
鑫政大厦,［开福区-四方坪］德雅路1488号
锦和嘉园,［开福区-伍家岭］三一大道111号
北辰凤凰天阶苑B1E1区,［开福区-北辰三角洲］晴岚路68号
福晟钱隆国际,［开福区-八一桥］兴联路,近芙蓉北路
竹满人家,［开福区-伍家岭］新码头26号
公园西郡大厦,［开福区-省博物馆］福乐巷23号
石油厂小区,［开福区-四方坪］三一大道173号
长远大厦,［开福区-开福周边］建湘路306号
留芳岭小区,［开福区-湘雅医院］蔡锷北路
华江乐天花亭,［开福区-开福区政府］芙蓉北路一段86号
富兴旺角,［开福区-广电中心］福元中路
便河边社区,［开福区-松桂园］姚正街
鸿涛翡翠湾(别墅),［开福区-开福区政府］双河路
建鸿达现代城,［开福区-松桂园］展览馆路16号
西园北里,［开福区-湘雅医院］通泰街
伍家岭交通设计院宿舍,［开福区-伍家岭］芙蓉北路二段168号
龙福小区,［开福区-开福区政府］龙福路
德邦新村,［开福区-四方坪］德雅路1152号
北辰三角洲奥城C2区,［开福区-北辰三角洲］湘江北路三段1200号
天健城,［开福区-伍家岭］开福寺东路,近芙蓉中路
四方嘉苑,［开福区-四方坪］双拥路168号
长泰豪园,［开福区-开福周边］金马路26号
油铺街小区,［开福区-湘江中路］油铺街127号
省公路局宿舍,［开福区-八一桥］八一路520号
汇城花园,［开福区-省博物馆］东风路41号
下麻园岭小区,［开福区-伍家岭］唐家巷下麻园岭40号
东兴园公寓,［开福区-兴汉门］东兴园巷53号
富华大厦,［开福区-松桂园］建湘路637号
长沙之芯,［开福区-松桂园］芙蓉中路一段429号
振湘小区,［开福区-四方坪］车站北路
湘涂小区,［开福区-伍家岭］新码头路155号
恒大林溪郡,［开福区-伍家岭］青秀路,近开福大道
都市星光,［开福区-松桂园］蔡锷北路118号
湘瑞嘉园,［开福区-八一桥］鹅秀路
恒鑫山水卿卿,［开福区-山语城］芙蓉北路
泰安小院,［开福区-湘江中路］泰安里53号
唐朝大厦,［开福区-东风路］芙蓉中路一段435号
青年才郡,［开福区-广电中心］洪山路209号
湖南省电影公司生活区,［开福区-省博物馆］德雅路127号
金帆二区,［开福区-东风路］金帆路
长沙市地税四分局宿舍,［开福区-松桂园］东风路109号
竹韵商居,［开福区-伍家岭］华夏路
铁路宿舍,［开福区-东风路］东风路294号
青竹湖曦园,［开福区-开福周边］青竹湖路,近开福大道
科技出版社宿舍,［开福区-伍家岭］湘雅路
双子座,［开福区-四方坪］蚌塘街16号
卓越青竹湖(别墅),［开福区-开福周边］太阳山路1号
四方商贸城,［开福区-四方坪］三一大道
德雅公寓,［开福区-松桂园］德雅路327号
新城和樾,［开福区-八一桥］芙蓉北路,近高冲路
兴汉门公寓,［开福区-兴汉门］湘春路204号
金色溪泉湾(别墅),［开福区-广电中心］栏山路
长泰豪园(别墅),［开福区-开福区政府］金马路26号
湖南友谊阿波罗股份有限公司集体宿舍,［开福区-四方坪］蚌塘街
省交通厅宿舍,［开福区-八一桥］迎宾路113号
领航江阁,［开福区-湘雅路］开福寺路
建鸿达公寓,［开福区-伍家岭］芙蓉北路65号
北辰三角洲E6区,［开福区-北辰三角洲］黄兴北路
百善台小区,［开福区-伍家岭］大王家巷287号
绿地V岛,［开福区-广电中心］三一大道,近朝正路
公安局金霞小区,［开福区-伍家岭］芙蓉北路一段880号
湘粮国际,［开福区-开福周边］芙蓉北路,近安顺路
雅泰花园,［开福区-新河路］湘江中路一段43号
韵景商居,［开福区-伍家岭］华夏路131号
科苑小区,［开福区-东风路］德雅路282号
鸿邦国际城,［开福区-山语城］北路辅路
新力紫园,［开福区-伍家岭］陡岭路63号
弘坤云寓,［开福区-德雅村］三一大道482号
开福区园林局宿舍,［开福区-东风路］德雅路
山语城(一期别墅),［开福区-山语城］秀峰路
兴汉华庭,［开福区-兴汉门］蔡锷北路372号
骏豪花园,［开福区-广电中心］广电路
中南纸业市场安置小区,［开福区-八一桥］金马路
德雅苑,［开福区-德雅路］德雅路373号
鸿涛翡翠湾,［开福区-开福区政府］双河路,近北二环
明德中学家属楼,［开福区-培元桥］湘春路369号
凯乐微谷,［开福区-伍家岭］徒岭路
湖南省卫生厅宿舍,［开福区-松桂园］下麻园岭巷62号
公园9号大都会,［开福区-东风路］东风路,近德雅路
青竹湖曦园(别墅),［开福区-山语城］青竹湖路
幸福桥宿舍,［开福区-四方坪］幸福桥巷49号
百卉花园,［开福区-湘江中路］茅亭子巷34号
银海大厦,［开福区-八一桥］建湘北路282号
望江公寓,［开福区-伍家岭］湘雅路332号
金属公司宿舍,［开福区-伍家岭］芙蓉中路一段65号
富雅坪小区,［开福区-兴汉门］富雅坪巷13号
北辰三角洲C3区,［开福区-伍家岭］黄兴北路1302号
胜利小区,［开福区-四方坪］德雅路480号
邮电文明社区,［开福区-松桂园］德雅路
湖南省公路管理局宿舍,［开福区-清水塘］八一路520号
邮电器材宿舍,［开福区-烈士公园］科大东街
上林紫郡(商住楼),［开福区-四方坪］陡岭支路75号
珠江花城花盛(商住楼),［开福区-开福区政府］福元西路99号
丝茅冲工商银行宿舍,［开福区-四方坪］德雅路1034号
铁路机械化宿舍,［开福区-伍家岭］机械巷16号
希圣园,［开福区-湘江中路］学宫街67号
动力北苑,［开福区-伍家岭］新河路193号
船山公寓,［开福区-中山亭］中山路
彭家井巷52号小区,［开福区-兴汉门］彭家井巷52号
人保财险湖南省分公司宿舍,［开福区-湘雅医院］文昌阁街
凯乐微谷(商住楼),［开福区-四方坪］栖凤路
人民银行宿舍,［开福区-兴汉门］学宫街64号
上园商住小区,［开福区-东风路］东风路,近东风路七条巷
望麓园,［开福区-八一桥］芙蓉中路
长城万富汇,［开福区-四方坪］双拥路
湘雅医院北院,［开福区-潘家坪］上麻园岭巷255号
龙塘小区,［开福区-开福周边］北二环
鹅羊山小区,［开福区-山语城］冯蔡路
南天花园,［开福区-伍家岭］下大垅188号
联运宿舍,［开福区-伍家岭］下麻园岭巷
里约荟,［开福区-伍家岭］芙蓉北路163号
运达国际广场,［开福区-松桂园］芙蓉中路一段478号
七中教师村,［开福区-伍家岭］德雅路632号
标志商务楼,［开福区-伍家岭］芙蓉中路119号
药材公司宿舍,［开福区-伍家岭］东风路180号
招标局宿舍,［开福区-松桂园］东风路123号
旺府家园,［开福区-伍家岭］芙蓉中路一段85号
丝茅冲环卫局宿舍,［开福区-四方坪］德邦路
毛家桥21号小区,［开福区-开福寺］毛家桥街189号
天健芙蓉盛世花园(三期),［开福区-伍家岭］芙蓉中路,近开福寺路
绿地中心(商住楼),［开福区-省博物馆］芙蓉中路1段319号
里约荟(商住楼),［开福区-伍家岭］芙蓉北路163号
恒大林溪郡(别墅),［开福区-山语城］青秀路6号
北维宿舍,［开福区-东风路］德雅路750号
光明大栋宿舍,［开福区-烈士公园］科大东街
宝瑞悦湖商业广场,［开福区-广电中心］万家丽北路799号
潮宗街小区,［开福区-中山亭］潮宗街
长沙市中心医院分院宿舍,［开福区-兴汉门］长春巷路1号
凯雪面粉厂宿舍139号,［开福区-华夏路］潘家坪路141号
富兴金地大厦,［开福区-八一桥］湘春路75号
新奥大厦,［开福区-东风路］体育馆路17号
永通商邸,［开福区-四方坪］三一大道303号
德雅名居,［开福区-松桂园］德雅路421号
工农街小区,［开福区-伍家岭］工农街
学宫街社区,［开福区-培元桥］学宫街171号
上园商住小区(商住楼),［开福区-东风路］东风路,近东风路七条巷
英祥春天(商住楼),［开福区-开福区政府］福元西路,近新欣路
塞纳公馆(商住楼),［开福区-马厂］捞刀河北路,近芙蓉北路
崇文里8号小区,［开福区-湘江中路］崇文里8号
省粮食局宿舍,［开福区-伍家岭］三一大道
德雅精品公寓,［开福区-八一桥］德雅路802号
庆和里小区,［开福区-潘家坪］庆和里11号
湖南省糖酒公司大院,［开福区-万达广场］五一大道922号
姚正街商住楼,［开福区-兴汉门］姚正街
长沙大学教师宿舍,［开福区-伍家岭］沙湖桥街273
长沙县总工会宿舍,［开福区-华夏路］|潘家坪路200号
潮宗御苑(商住楼),［开福区-湘江中路］营盘路6号
福鑫楼,［开福区-八一桥］芙蓉中路一段179号
省民宗委宿舍,［开福区-兴汉门］彭家井巷52号
局关祠小区,［开福区-中山亭］蔡锷北路102号
寿星街11栋小区,［开福区-培元桥］寿星街31号
羽毛厂宿舍,［开福区-四方坪］德雅路1332号
湘雅路286号小区,［开福区-培元桥］湘雅路286号
原长沙晚报宿舍,［开福区-通泰街］新风街22号
周南中学宿舍,［开福区-培元桥］北正街291号
湘春路彭家井1号,［开福区-湘雅医院］彭家井巷47号
五矿沁园金城(别墅),［开福区-开福区政府］福元西路
药监局宿舍,［开福区-松桂园］戥子桥68号
清水塘路27号小区,［开福区-清水塘］清水塘路27号
汽车电器厂宿舍,［开福区-省博物馆］东风路
恬居,［开福区-培元桥］湘江中路
排楼湾小区,［开福区-山语城］裕城路,近龙福路
新港派出所宿舍,［开福区-山语城］龙福路1号
金霞安置小区,［开福区-湘江世纪城］湘江北路
考古研究所宿舍,［开福区-中山亭］中山路74号
伍家岭电信局宿舍,［开福区-伍家岭］新河路382号
德雅路364号房,［开福区-烈士公园］德雅路364号
先福安置小区(E区),［开福区-浏阳河］双拥路
罗汉庄安置小区,［开福区-恒大雅苑］星沙联络线
宿龙桥社区广厦元小区,［开福区-湘江世纪城］裕城路
学宫街机电宿舍,［开福区-兴汉门］学宫街55号
福庆街58号小区,［开福区-湘江中路］福庆街58号
社保住宅楼,［开福区-伍家岭］东风路139号
荷韵园小区,［开福区-山语城］鹅羊山路
泰安里11号小区,［开福区-湘江中路］泰安里11号
北正街35号小区,［开福区-湘江中路］北正街35号
机械厅供销公司宿舍,［开福区-伍家岭］新码头路2号
西长街92号小区,［开福区-万达广场］西长街92号
毛家桥大市场,［开福区-浏阳河］四方大道,近三一大道
东风二小宿舍,［开福区-省博物馆］东风路二条巷4号
衡清里老干楼,［开福区-清水塘］衡清里78号
潘家坪劳动局宿舍大院,［开福区-开福寺］开福寺路
滨河嘉园,［开福区-开福区政府］开福大道180号
湘江宾馆宿舍,［开福区-清水塘］教育街13号
熙宁街043号小区,［开福区-培元桥］熙宁街043号
新华印刷集团宿舍,［开福区-兴汉门］长春巷17号
长沙师范教工宿舍,［开福区-兴汉门］荷花池13号
友谊苑,［开福区-伍家岭］伍家岭路184号
德雅村房地局宿舍,［开福区-烈士公园］科大东街
电业局宿舍(开福),［开福区-省博物馆］德雅路4号
湘西宿舍,［开福区-清水塘］芙蓉中路513号
建设银行家属院,［开福区-兴汉门］湘春路151号
燎原电影院宿舍,［开福区-万达广场］春风街19号
新河路排水处宿舍,［开福区-开福寺］新河路2号
毛家桥21号A栋,［开福区-开福寺］毛家桥街189号
油化宿舍,［开福区-四方坪］浏阳河路1号
德雅路1号小区,［开福区-省博物馆］德雅路1号
文昌阁街60号小区,［开福区-湘雅医院］文昌阁街60号
紫东园,［开福区-培元桥］民主后街
营盘街社区,［开福区-培元桥］民主西街26号
铂宫大厦,［开福区-中山亭］又一村巷38号
盛世路10号安置小区,［开福区-湘江世纪城］盛世路10号
江临天下(别墅),［开福区-湘江世纪城］金马路26号
长沙县广电台宿舍,［开福区-四方坪］板仓路323号
开福区煤炭宿舍,［开福区-省博物馆］东风路
银宫宿舍,［开福区-中山亭］中山路178号
长沙师范学院附幼附小教师宿舍,［开福区-兴汉门］崇圣里24号
先锋厅居民楼,［开福区-中山亭］仓后街
新华通讯社湖南分社宿舍区,［开福区-清水塘］迎宾路179号
胜利社区南片安置区,［开福区-四方坪］黑石渡后街
天井小区,［开福区-开福周边］天井路10号
搪瓷厂宿舍,［开福区-四方坪］德雅路1438号
金盆丘小区,［开福区-开福周边］芙蓉北路
捞刀河博爱小区,［开福区-山语城］楚家湖路
环城堤综合楼,［开福区-万达广场］春风街7号
牌头岭小区,［开福区-开福区政府］福元路
东风二村社区法院宿舍,［开福区-潘家坪］东风路
东风公寓,［开福区-潘家坪］东风路147号
群力里小区,［开福区-培元桥］黄兴北路267号
花园公寓,［开福区-清水塘］清水塘路106号
福竹园小区,［开福区-开福周边］中青路1277号
杨家巷3单元小区,［开福区-万达广场］西长街20号
朱家花园,［开福区-东风路］德雅路
秀峰人瑞建材市场,［开福区-湘江世纪城］芙蓉北路14号
连升社区,［开福区-北正街］连升街33号
土产宿舍,［开福区-伍家岭］新码头109号
蔡锷北路159号小区,［开福区-兴汉门］蔡锷北路159号
五里牌团结路006栋小区,［开福区-开福寺］湘江中路一段24号
梦洁宿舍,［开福区-开福寺］竹山园104号
省粮食局批发市场,［开福区-伍家岭］芙蓉中路一段2号
长沙市水泥制管厂宿舍,［开福区-湘江中路］晴佳巷55号
大王家巷41号小区,［开福区-湘雅医院］大王家巷41号
银宇大厦,［开福区-伍家岭］三一大道
省化工轻工总公司302宿舍,［开福区-伍家岭］东风路386号
湖南省工业设备安装公司住房,［开福区-兴汉门］湘春路246号
文昌阁111号小区,［开福区-湘雅医院］文昌阁111号
文昌阁街123号小区,［开福区-湘雅医院］文昌阁街123号
星沙农村信用社宿舍,［开福区-兴汉门］湘春路252号
湖南乳胶制品厂宿舍,［开福区-华夏路］华夏路140号
公安局宿舍,［开福区-伍家岭］刘家冲1号
德雅路农机局宿舍,［开福区-省博物馆］德雅路
幸福桥巷13号小区,［开福区-华夏路］上麻园岭巷,近南园路
邮电建工局住宅区,［开福区-德雅路］车站北路
新安寺小区,［开福区-山语城］芙蓉北路
尚上美寓,［开福区-开福寺］廖家湾街百善台街
恒大清澜苑,［开福区-湘江世纪城］网船班路3号
福城社区,［开福区-马厂］陈家铺路
新二村安置小区,［开福区-省博物馆］东风路三条巷16号
湘绸宿舍,［开福区-湘雅路口］德雅路
居民点宿舍,［开福区-潘家坪］东风路六条巷5号
省交通设计院西园北里宿舍,［开福区-培元桥］西园北里2号
王家垅长铁,［开福区-潘家坪］东风路
省机电公司宿舍,［开福区-潘家坪］工商巷
中行上大垅宿舍,［开福区-省博物馆］德雅路144号
六亩地宿舍,［开福区-四方坪］德雅路附445号
植基小区,［开福区-山语城］高尔夫路
科技情报站小区,［开福区-通泰街］黄兴北路
活元桥小区,［开福区-通泰街］寿星街
开福区国税局宿舍,［开福区-四方坪］东风路256号
植物油厂宿舍,［开福区-伍家岭］伍家岭路150号
长沙市青少年宫内体育馆宿舍,［开福区-中山亭］中山路296号
东风路98号小区,［开福区-东风路］东风路154号
营盘路盘乐园009号小区,［开福区-营盘路］营盘路盘乐园009号
岳麓区机关河东宿舍,［开福区-湘江中路］春风街37号
交通银行北大桥宿舍,［开福区-湘江中路］湘江中路3号
李公庙商住楼,［开福区-湘江中路］吉祥巷
鑫利家园,［开福区-四方坪］东二环二段562号
迎宾大厦,［开福区-烈士公园］迎宾路237号
隆华金属材料公司宿舍,［开福区-松桂园］芙蓉中路,近荷花池巷
长沙市伍家岭新奥燃气公司宿舍,［开福区-伍家岭］新河路336号
建安宿舍,［开福区-东风路］东风路四条巷14号
芙蓉路社区,［开福区-八一桥］芙蓉中路一段559号
同仁里,［开福区-湘江中路］吉祥巷72号
大明华庭,［开福区-开福周边］大明大道,近自明路
金鹰汇大厦,［开福区-德雅村］万家丽北路338号
